date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-07,Croatia,Slovenia,2,1,Friendly,Varazdin,Croatia,FALSE
2026-06-07,Morocco,Norway,1,1,Friendly,Harrison,United States,TRUE
2026-06-07,Ecuador,Guatemala,3,0,Friendly,Columbus,United States,TRUE
2026-06-07,Colombia,Jordan,2,0,Friendly,San Diego,United States,TRUE
2026-06-08,Netherlands,Uzbekistan,2,1,Friendly,New York,United States,TRUE
2026-06-08,France,Northern Ireland,3,1,Friendly,Lille,France,FALSE
2026-06-08,Peru,Spain,1,3,Friendly,Puebla,Mexico,TRUE
2026-06-09,Saudi Arabia,Senegal,0,0,Friendly,San Antonio,United States,TRUE
2026-06-09,DR Congo,Chile,1,2,Friendly,Orleans,France,TRUE
2026-06-09,Argentina,Iceland,3,0,Friendly,Auburn,United States,TRUE
2026-06-09,Iraq,Venezuela,0,2,Friendly,Bridgeview,United States,TRUE
